Canada,94.88,94.04,88.91,85.38,81.42
Newfoundland and Labrador,67.17,61.79,70.63,62.12,65.94
Prince Edward Island,43.82,44.42,41.49,44.2,45.05
Nova Scotia,88.63,89.56,84.33,86.9,78.04
New Brunswick,68.1,72.27,68.44,67.25,65.74
Quebec,82.32,80.38,76.06,78.41,75.34
Ontario,81.77,81.46,77.38,72.15,69.47
Manitoba,159.07,176.36,167.24,161.2,153.7
Saskatchewan,153.51,156.05,154.4,144.02,133.95
Alberta,112.32,106.68,98.44,94.97,88.04
British Columbia,115.01,111.55,102.52,94.43,89.33
Yukon,195.45,200.17,186.04,176.66,163.85
Northwest Territories,339.32,326.48,328.75,328.06,356.63
Nunavut,481.21,487.57,510.76,501.94,470.5
Ottawa-Gatineau (Ontario/Quebec),74.19,77.38,66.07,64.46,61.49
Ottawa-Gatineau (Ontario),73.13,78.46,68.21,62.03,58.21
Kingston,60.63,69.46,54.8,48.82,53.73
Peterborough,70.28,61.15,65.83,61.66,66.16
Toronto,97.97,95.62,89.31,82.63,78.4
Hamilton,88.09,84.48,80.49,73.72,62.49
St.Catharines-Niagara,68.37,63.52,56.91,48.38,54.13
Kitchener-Cambridge-Waterloo,60.8,65.32,69.47,70.69,60.93
Brantford,87.71,91.23,93.52,87.63,67.62
Guelph,42.19,51.14,44.75,50.19,53.8
London,64.9,69.73,74.35,70.66,64.09
Windsor,77.2,74.73,64.75,59.31,66.4
Barrie,52.72,54.03,50.08,45.52,46.05
Sudbury,75.23,98.54,85.27,78.8,75.37
Thunder Bay,116.56,137.48,139.17,124.2,118.83
